,기업명,채용공고,위치,위치상세,태그,마감일,경력
53,의식주컴퍼니(런드리고),[100억↑투자] 데이터 엔지니어,서울 용산구,"용산구 한강로3가 37-70, 용산센트럴파크해링턴스퀘어 10층","커피·스낵바,자기계발지원,편의시설,건강검진지원,식대지원,장비지원,재택근무,스톡옵션,301~1,000명,설립4~9년",상시채용,경력 3-10년
54,컨포트랩,Software Engineer (4년 이상),서울 강남구,강남구 봉은사로 429(위즈빌딩),"커피·스낵바,유연근무,식대지원,설립3년이하",상시채용,경력 4-8년
55,센트비(Sentbe),[Corporate Development] Data Analyst,서울 강남구,강남구 영동대로85길 34 5층 501호 (대치동),"자기계발지원,커피·스낵바,사내동호회,유급휴가,건강검진지원,설립4~9년",상시채용,경력 3-8년
56,캐낸다,백엔드 개발자/머신러닝 엔지니어,서울 강남구,서울특별시 강남구,설립3년이하,상시채용,경력 5-10년
57,닥터테일,"[반려 동물, 미국 시장] 시니어 백엔드 엔지니어",서울 강남구,"강남구 테헤란로 27길 16, 9층","휴가비,유급휴가,식대지원",상시채용,경력 5-10년
58,브레인커머스,[잡플래닛] Data Engineer,서울 강남구,서울 강남구 테헤란로 509 10층,"식대지원,의료비지원,건강검진지원,커피·스낵바,스톡옵션,설립10년이상",상시채용,경력 3-10년
59,파이온코퍼레이션,브이캣 딥러닝 엔지니어,서울 강남구,"서울시 강남구 삼성로 85길 26, V&S 601호","통신비,커피·스낵바,편의시설,유연근무,재택근무,건강검진지원,식대지원,설립4~9년",상시채용,경력 2-10년
60,알티엠,Junior Data Scientist (다변량 시계열),서울 강남구,서울시 강남구 역삼로3길 11 광성빌딩 10층,"스톡옵션,식대지원,유망산업,커피·스낵바,복지포인트,설립4~9년",상시채용,경력 1-3년
61,제트에이아이,ML Research 엔지니어 (병역특례 가능),서울 관악구,서울시 남부순환로 1783 C&J 메디타워 6층,"설립3년이하,자기계발지원,식대지원,유망산업",상시채용,신입-경력 10년
62,인티그리트,S/W Back-End,서울 강남구,서울시 강남구 삼성로 547 BK타워 5층,"커피·스낵바,식대지원,편의시설,설립4~9년",상시채용,경력 5-10년
63,제트에이아이,머신러닝 엔지니어 (병역특례 가능),서울 관악구,서울시 남부순환로 1783 C&J 메디타워 6층,"설립3년이하,자기계발지원,식대지원,유망산업",상시채용,신입-경력 10년
64,앰버로드,Project Manager,서울 강남구,서울 강남구 역삼동 선릉로 551,"자유로운휴가,커피·스낵바,유망산업,식대지원",상시채용,경력 5-15년
65,라온피플,Senior(Cloud)시스템 엔지니어,경기 과천시,"경기도 과천시 과천대로7나길 60, 어반허브 C동 5,6층","유망산업,식대지원,건강검진지원,커피·스낵바,설립10년이상",상시채용,경력 3-7년
66,테서,의료 텍스트 자연어처리(NLP) AI 연구원,서울 강남구,"강남구 언주로 544, 4층 테서","커피·스낵바,유망산업,건강검진지원,설립4~9년",상시채용,경력 1-10년
67,플래티어,데이터 엔지니어,서울 송파구,서울시 송파구 법원로9길 26 H Business Park D동 6층,"유망산업,장비지원,편의시설,커피·스낵바,식대지원,사내동호회,유연근무,설립10년이상",상시채용,경력 2-7년
68,인터엑스,[울산][전문연구요원] 데이터 분석가 (이미지 및 영상),울산 남구,"울산광역시 중구 종가6길 7, 더테라스 1001~1003호","유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,설립4~9년",상시채용,경력 2-5년
