,기업명,채용공고,위치,위치상세,태그,마감일,경력
94,토스뱅크,ML Engineer,서울 강남구,서울특별시 강남구 테헤란로 131,"통신비,단체보험,보너스,커피·스낵바,재택근무,편의시설,대출지원,유급휴가,연봉상위2~5%,인원급성장,301~1,000명,설립4~9년",상시채용,경력 2-20년
95,그립컴퍼니,데이터 사이언티스트(AI),경기 성남시,"성남시 분당구 판교역로 152, 알파돔타워 11층","통신비,자기계발지원,건강검진지원,식대지원,편의시설,유연근무,보너스,연봉상위1%,인원급성장,51~300명,설립4~9년",상시채용,경력 3-9년
96,반프,R&D / Data Scientist & Data Analyst,서울 강남구,"서울시 강남구 역삼로 175, 3층","유연근무,자기계발지원,커피·스낵바,식대지원,연봉상위1%,인원급성장,50명이하,설립3년이하",상시채용,경력 3-10년
97,한국모바일결제,데이터 엔지니어 (2년 이상),서울 강남구,"서울시 강남구 테헤란로2길 27, 비전타워 15층","식대지원,커피·스낵바,장비지원,자유로운휴가,자기계발지원,자율복장,편의시설,워크샵,연봉상위6~10%,인원급성장,50명이하,설립3년이하",2024.06.28,경력 2-8년
98,토스뱅크,CSS Modeler,서울 강남구,서울특별시 강남구 테헤란로 131,"통신비,단체보험,보너스,커피·스낵바,재택근무,편의시설,대출지원,유급휴가,연봉상위2~5%,인원급성장,301~1,000명,설립4~9년",상시채용,경력 3-15년
99,브이엔티지,SAP BI 운영 및 개발자 (1년이상),서울 마포구,"서울 마포구 양화로 45 세아타워 6층, 7층","유연근무,자기계발지원,리프레시휴가,휴가비,유급휴가,건강검진지원,커피·스낵바,설립4~9년",상시채용,경력 1-5년
100,콘센트릭스서비스코리아CATALYST,데이터분석 (태깅),서울 강남구,삼성동 NC타워,"건강검진지원,식대지원,유연근무,자기계발지원,보너스,단체보험",상시채용,경력 7-15년
101,휴톰,Data Scientist(Senior),서울 마포구,서울특별시 마포구 독막로 279 상장회사회관 6층,"유망산업,건강검진지원,커피·스낵바,복지포인트,보너스,유연근무,장비지원,자유로운휴가,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 5-15년
102,인터엑스,[서울] 데이터 분석가 (이미지 및 영상),서울 금천구,서울 금천구 가산디지털1로 171 가산SKV1 센터 1001호,"유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 2-5년
103,인터엑스,[울산] 데이터 분석가 (이미지 및 영상),울산 남구,"울산광역시 중구 종가6길 7, 더테라스 1001~1003호","유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 2-5년
104,디에스앤지,AI 인프라 및 AI Ops 환경 구성 담당자,서울 영등포구,"서울특별시 영등포구 경인로 775, 에이스하이테크시티 1동 501호","보너스,건강검진지원,대출지원,자기계발지원,육아휴직,유연근무,연봉상위1%,50명이하,설립10년이상",상시채용,경력 6-20년
105,미리디,데이터 챕터 리드,서울 구로구,"디지털로31길 12, 8층 (구로동, 태평양물산)","유연근무,재택근무,사내동호회,인원급성장,연봉상위11~20%,51~300명,설립10년이상",2024.05.31,경력 6-15년
106,무신사,Data Scientist(검색) (데이터프로덕트팀),서울 성동구,서울특별시 성동구 성수동2가 277-47 무신사캠퍼스N1,"대출지원,건강검진지원,자기계발지원,복지포인트,연봉상위1%,인원급성장,1,001~10,000명,설립10년이상",상시채용,경력 5-12년
107,원티드랩,Data Quality Specialist [데이터팀],서울 송파구,송파구 올림픽로 300 롯데월드타워 35층,"장비지원,건강검진지원,자유로운휴가,식대지원,재택근무,스톡옵션,커피·스낵바,연봉상위1%,51~300명,설립4~9년",상시채용,경력 3-7년
108,시프트업,[AI Labs]Reinforce Learning Research Scientist,서울 서초구,"서초구 서초대로 77길 55, 에이프로스퀘어 4층, 14층, 15층 시프트업","연봉상위2~5%,인원급성장,51~300명,설립10년이상",상시채용,신입-경력 99년
109,아이트럭,ML 머신러닝 중급 개발자,서울 서초구,"서울특별시 서초구 동작대로 230, 10층(방배동,화련회관)","자유로운휴가,커피·스낵바,식대지원,연봉업계평균이상,인원급성장,50명이하,설립4~9년",상시채용,경력 5-10년
110,아임잇,EAI SM/SI,서울 금천구,"서울시 금천구 디지털로 178, B동 1909호 (가산동, 가산퍼블릭)","건강검진지원,식대지원,워크샵,커피·스낵바,설립10년이상",상시채용,신입-경력 4년
111,하나금융티아이,[하나금융융합기술원] Knowledge Engineering 석/박사 연구원,서울 강남구,서울특별시 강남구 테헤란로 127,"유망산업,의료비지원,연봉상위1%,인원급성장,1,001~10,000명,퇴사율 6~10%,설립10년이상",상시채용,경력 3-10년
112,페어스퀘어랩,[100억↑투자] Blockchain Researcher (병역특례 전문연구요원),서울 서초구,"서울특별시 서초구 강남대로105길 12, 7층","유망산업,장비지원,커피·스낵바,편의시설,건강검진지원,전문연구요원,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 1-5년
113,안티그래비티,[부피 알고리즘] 데이터 사이언티스트,서울 성동구,서울 성동구 성수이로22길 37 (성수동2가) 아크밸리 지식산업 센터 303c호 안티그래비티,"스톡옵션,유연근무,유급휴가,자기계발지원,식대지원,워크샵,자유로운휴가,보너스,연봉상위11~20%,인원급성장,50명이하,설립4~9년",상시채용,경력 2-15년
114,넥슨코리아(NEXON),[인텔리전스랩스] 리서치 사이언티스트 (생성 AI),경기 성남시,"경기도 성남시 분당구 판교로 256번길 7, 넥슨","자기계발지원,편의시설,사내동호회,유망산업,유연근무,연봉상위1%,인원급성장,1,001~10,000명,설립10년이상",상시채용,경력 1-99년
115,싸이버로지텍,전사 DA(Database Architect),서울 마포구,서울 마포구 월드컵북로 396,"유연근무,건강검진지원,식대지원,재택근무,커피·스낵바,통신비,장비지원,연봉상위1%,인원급성장,301~1,000명,퇴사율 6~10%,설립10년이상",상시채용,경력 3-10년
