,기업명,채용공고,위치,위치상세,태그,마감일,경력
163,비씨디코퍼레이션,명품이커머스 python 백엔드 개발자,서울 금천구,서울 금천구 가산디지털1로212,"자기계발지원,자유로운휴가,커피·스낵바,50명이하,설립4~9년",2024.06.19,경력 3-10년
164,룰루메딕,FrontEnd 개발(5년 이상),서울 강남구,테헤란로 87길 29,"자유로운휴가,유연근무,재택근무,의료비지원,연봉업계평균이상,인원급성장,51~300명,설립3년이하",상시채용,경력 5-7년
165,테이블매니저,Senior Back-end 개발자(Node.js) (5년 이상),서울 강남구,서울 강남구 논현로153길 53 6층,"커피·스낵바,식대지원,연봉상위11~20%,50명이하,설립4~9년",상시채용,경력 3-10년
166,포티투닷(42dot),LLM inference optimization engineer,서울 강남구,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층","유망산업,식대지원,건강검진지원,커피·스낵바,장비지원,자기계발지원,연봉상위1%,인원급성장,301~1,000명,설립4~9년",상시채용,경력 3-15년
167,모요,데이터분석가,서울 강남구,서울 강남구 테헤란로 20길 20 삼정빌딩 8층,"식대지원,커피·스낵바,유급휴가,연봉상위6~10%,인원급성장,50명이하,설립3년이하",상시채용,경력 3-8년
168,네비웍스,AI 개발자(1년 이상),경기 ,경기도 안양시 동안구 부림로170번길 41-18,"주차지원,유망산업,연봉업계평균이상,51~300명,설립10년이상",2024.05.22,경력 1-10년
169,포디리플레이코리아,Windows Application Development(5년 이상),경기 성남시,"경기도 성남시 분당구 황새울로200번길 26, 1층 (N타워가든빌딩)","자기계발지원,통신비,사내동호회,유연근무,커피·스낵바,편의시설,보너스,식대지원,건강검진지원,스톡옵션,연봉상위2~5%,50명이하,설립10년이상",상시채용,경력 5-10년
170,모빅랩,Senior AI Researcher,서울 서초구,서울 서초구 태봉로 114 한국교원단체총연합회 AI양재,"커피·스낵바,자기계발지원,건강검진지원,보너스,식대지원,유망산업,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 3-25년
171,유에이치씨,AI / 딥러닝 개발자,서울 강남구,삼성로 540 브로모빌딩 3 F,"커피·스낵바,인원급성장,51~300명,설립4~9년",상시채용,경력 3-10년
172,크라우드웍스,[솔루션팀] Software Engineer (Full-stack),서울 강남구,"서울특별시 강남구 역삼동 테헤란로 309 (삼성제일빌딩, 5층)","유망산업,장비지원,커피·스낵바,연봉상위6~10%,인원급성장,51~300명,설립4~9년",상시채용,경력 5-10년
173,아이쉴드,풀스택 개발자,서울 강남구,강남구 선릉로 94길14,"커피·스낵바,자율복장,식대지원,연봉업계평균이상,인원급성장,50명이하,설립3년이하",상시채용,경력 4-5년
174,스트리미(Streami),가상자산거래소 월렛팀 엔지니어,서울 강남구,"논현동 192-19, 12층","건강검진지원,식대지원,유망산업,커피·스낵바,유연근무,재택근무,장비지원,자기계발지원,연봉상위2~5%,51~300명,설립4~9년",상시채용,경력 3-7년
175,게임듀오,서버 프로그래머,경기 성남시,경기도 성남시 수정구 창업로 43(시흥동) b동,"유연근무,자기계발지원,식대지원,커피·스낵바,산업기능요원,연봉업계평균이상,인원급성장,51~300명,설립4~9년",상시채용,경력 2-7년
176,플루언트,MLOps Engineer (DevOps Engineer),서울 강남구,"서울특별시 역삼로 175, 현승빌딩(팁스타운 S3) 6층 B호","자기계발지원,커피·스낵바,식대지원,설립3년이하",상시채용,경력 3-15년
177,모멘티,프론트엔드 개발자 (5~10년),서울 강남구,서울특별시 강남구 논현로105길 11-3 모멘티,"보너스,연봉상위11~20%,50명이하,설립4~9년",2024.05.19,경력 5-10년
178,앤서스랩코리아,[DX]Data Warehouse Engineer,서울 강남구,"서울특별시 강남구 언주로 609, PAX TOWER 4층","복지포인트,커피·스낵바,식대지원,사내동호회,자기계발지원,유망산업,연봉상위1%,인원급성장,301~1,000명,설립10년이상",상시채용,경력 5-11년
179,오토위니,JAVA 개발자 (5년 이상),서울 강남구,"서울특별시 강남구 남부순환로 2645, 한독빌딩 3층","유연근무,건강검진지원,휴가비,보너스,커피·스낵바,식대지원,연봉상위6~10%,51~300명,설립10년이상",상시채용,경력 5-15년
180,아보엠디코리아,풀스택 웹 엔지니어 (3년 이상),서울 강남구,강남구 역삼로 169. 명우빌딩 6층,"연봉상위2~5%,인원급성장,50명이하,설립3년이하",2024.06.02,경력 3-6년
181,에이젠글로벌,Python BackEnd Developer,서울 영등포구,서울특별시 영등포구 은행로 30 (여의도동) 중소기업중앙회 8층,"유망산업,스톡옵션,연봉상위2~5%,인원급성장,50명이하,설립4~9년",2024.06.30,경력 3-5년
182,플랜잇스퀘어,DW Engineer / 병원정보시스템 개발자,서울 강남구,"서울특별시 강남구 역삼로111, 한국정보통신진흥협회 빌딩 4층 플랜잇스퀘어","유망산업,스톡옵션,장비지원,커피·스낵바,식대지원,리프레시휴가,건강검진지원,사내동호회,휴가비,보너스,자유로운휴가,연봉상위2~5%,50명이하,설립4~9년",2024.07.31,경력 2-6년
183,지란지교데이터,보안 솔루션 백엔드 개발자 (2~5년) - 대전,대전 유성구,유성구 테크노 3로 65 한신에스메카 604,"자기계발지원,워크샵,편의시설,유연근무,식대지원,장비지원,커피·스낵바,사내동호회,재택근무,유망산업,연봉상위11~20%,인원급성장,51~300명,설립4~9년",2024.05.15,경력 2-5년
184,하이스트레인저,크로스플랫폼(flutter)/ 시니어 프론트엔드 엔지니어,서울 종로구,서울특별시 종로구 종로 6,"유연근무,커피·스낵바,설립3년이하",2024.05.12,경력 4-8년
185,아이네블루메(채티),백엔드 엔지니어 (Python),서울 강남구,서울특별시 강남구 삼성로 571 K빌딩 8층,"커피·스낵바,식대지원,50명이하,설립4~9년",상시채용,경력 3-10년
186,웅진씽크빅,데이터사이언티스트,서울 종로구,중구 청계천로 24,"유망산업,건강검진지원,휴가비,어린이돌봄,유연근무,연봉상위6~10%,1,001~10,000명,설립10년이상",상시채용,경력 1-2년
187,블루바이저시스템즈,웹개발자 (서울),서울 강남구,"삼성로 436, 바실리체 1802호","커피·스낵바,보너스,휴가비,유망산업,연봉상위6~10%,인원급성장,50명이하,설립4~9년",상시채용,경력 5-10년
188,대홍기획,백엔드 개발자 (DB개발),서울 중구,서울 중구 통일로 10,"편의시설,의료비지원,대출지원,통신비,건강검진지원,리프레시휴가,복지포인트,유망산업,연봉상위1%,301~1,000명,설립10년이상",상시채용,경력 4-10년
189,에이펙스이에스씨,S/W(소프트웨어) 개발,서울 강남구,"서울 강남구 강남대로156길 16 4,5층","유망산업,커피·스낵바,식대지원,연봉상위11~20%,50명이하,설립4~9년",상시채용,경력 4-8년
190,엔에스원소프트,솔루션 서버파트 개발자 (4년 이상),서울 강남구,"강남구 학동로 107, 더 퍼스트 빌딩 4층","장비지원,보너스,건강검진지원,자기계발지원,식대지원,워크샵,편의시설,커피·스낵바,유연근무,단체보험,연봉상위2~5%,인원급성장,50명이하,퇴사율 6~10%,설립4~9년",상시채용,경력 4-10년
191,패스트파이브,DevOps 엔지니어,서울 강남구,패스트파이브 강남구청점 (서울시 강남구 학동로45길 3),"건강검진지원,통신비,자기계발지원,복지포인트,연봉상위11~20%,51~300명,설립4~9년",상시채용,경력 5-10년
192,컨포트랩,Software Engineer (4년 이상),서울 강남구,강남구 봉은사로 429(위즈빌딩),"커피·스낵바,유연근무,식대지원,연봉상위1%,50명이하,설립3년이하",상시채용,경력 4-8년
193,클로봇,로봇 관제 시스템 프론트엔드 개발자,경기 성남시,"성남시 분당구 성남대로925번길 16, 7층 701호 (야탑동)","유망산업,스톡옵션,보너스,전문연구요원,재택근무,연봉상위6~10%,인원급성장,51~300명,설립4~9년",상시채용,경력 5-10년
194,에이블랩스,로봇 제어 소프트웨어 개발자,인천 연수구,"인천광역시 연수구 송도과학로16번길 13-39, 12층","커피·스낵바,유망산업,설립3년이하",상시채용,경력 3-10년
195,제로더,개발 팀장 (Team Lead),서울 성북구,서울특별시 성북구 종암로 18 서울바이오혁신커뮤니티센터 502호 제로더,"스톡옵션,식대지원,커피·스낵바,유급휴가",상시채용,경력 3-9년
196,브레인커머스,[잡플래닛] Sr.Frontend Engineer -잡시커플랫폼,서울 강남구,서울 강남구 테헤란로 509 10층,"식대지원,의료비지원,건강검진지원,커피·스낵바,스톡옵션,연봉상위11~20%,인원급성장,51~300명,설립10년이상",상시채용,경력 8-15년
197,플라잎,C# Application Engineer(전문연구요원 가능),경기 성남시,성남시 분당구 대왕판교로 660 유스페이스,"유망산업,자기계발지원,식대지원,유연근무,보너스,커피·스낵바,전문연구요원,연봉업계평균이상,50명이하,설립4~9년",상시채용,경력 3-5년
198,다우기술,Web Application 개발 (경리회계/경영지원),경기 성남시,경기도 성남시 수정구 금토로 69 다우디지털스퀘어,"유연근무,자기계발지원,복지포인트,대출지원,연봉상위1%,인원급성장,301~1,000명,설립10년이상",2024.05.12,경력 7-15년
199,마키나락스,머신러닝 엔지니어 (Battery PJT),서울 서초구,"서울특별시 서초구 강남대로 343 , 11/12층","전문연구요원,커피·스낵바,재택근무,연봉상위1%,인원급성장,51~300명,설립4~9년",상시채용,경력 3-7년
200,오케스트로,Full Stack Developer (운영 / 유지보수),서울 영등포구,"서울특별시 영등포구 여의도동 국제금융로 52 6,7층","자기계발지원,자유로운휴가,건강검진지원,식대지원,유망산업,연봉업계평균이상,인원급성장,301~1,000명,설립4~9년",상시채용,경력 3-10년
201,비주얼신,웹 프론트엔드 개발자(10년 내외),서울 강남구,서울 강남구 선릉로 578 태정빌딩 8층,"편의시설,복지포인트,유연근무,장비지원,연봉상위6~10%,50명이하,설립4~9년",2024.05.15,경력 9-12년
202,아더월드,풀스텍 개발자 시니어급,서울 성동구,"왕십리로 125, 5층 503호","자기계발지원,커피·스낵바,유망산업,유급휴가,인원급성장,50명이하,설립3년이하",상시채용,경력 7-9년
203,씨어스테크놀로지,생산 S/W 개발,경기 성남시,"경기도 성남시 분당구 황새울로 246, B동 5층(수내동, 도담빌딩)","건강검진지원,사내동호회,자유로운휴가,커피·스낵바,자기계발지원,식대지원,연봉상위2~5%,인원급성장,51~300명,설립10년이상",상시채용,경력 2-8년
204,마야크루,프론트엔드 개발자,서울 마포구,마포구 월드컵북로 35 501호,"커피·스낵바,보너스,50명이하,설립4~9년",상시채용,경력 1-5년
205,팀프레시,[100억↑투자] TMS스쿼드 물류사업 IT 기획자(1년 이상),서울 강남구,서울특별시 강남구 논현동 236-14 (서울 강남구 봉은사로 37길 7-9),"사내동호회,유연근무,커피·스낵바,식대지원,자기계발지원,연봉상위11~20%,301~1,000명,설립4~9년",상시채용,경력 1-5년
206,알티올,물류자동화 시스템 Full stack 개발자,인천 연수구,"인천광역시 연수구 송도과학로 32 송도테크노파크IT센터 M동1101호, 1601호","식대지원,커피·스낵바,보너스,출산휴가,연봉상위6~10%,인원급성장,50명이하,퇴사율 6~10%,설립4~9년",2024.07.31,경력 8-15년
207,베슬에이아이(VESSL AI),Backend Engineer (Senior),서울 강남구,서울시 강남구 테헤란로 217(역삼동) 오렌지플래닛 9층,"유망산업,재택근무,커피·스낵바,식대지원,연봉상위2~5%,인원급성장,50명이하,설립4~9년",상시채용,경력 6-15년
208,우리엔,"웹/앱 개발자(Java, PHP)",경기 화성시,경기 화성시 삼성1로2길 13,"편의시설,재택근무,대출지원,건강검진지원,어린이돌봄,커피·스낵바,연봉상위6~10%,인원급성장,51~300명,퇴사율 6~10%,설립10년이상",2024.06.02,경력 3-7년
209,크리스틴컴퍼니,데이터 사이언티스트 (3년 이상),서울 강남구,강남구 테헤란로306 카이트타워 15층,"커피·스낵바,스톡옵션,보너스,유급휴가,장비지원,리프레시휴가,식대지원,유망산업,연봉업계평균이상,인원급성장,50명이하,설립4~9년",상시채용,경력 3-8년
210,파이오링크,분산스토리지 개발 담당자,서울 금천구,"서울특별시 금천구 가산디지털2로 98, IT캐슬 1동 401호","출산휴가,육아휴직,편의시설,사내동호회,보너스,복지포인트,전문연구요원,연봉상위1%,인원급성장,301~1,000명,설립10년이상",상시채용,경력 1-7년
211,알지티,SW개발자,서울 금천구,서울 금천구 디지털로10길 78 가산테라타워 10층,"보너스,식대지원,커피·스낵바,유망산업,설립4~9년",상시채용,경력 3-10년
